,rated,turns,victory_status,winner,white_rating,black_rating,opening_eco,opening_ply,total_second
0,0,13.0,2,2,1500.0,1191.0,248,5.0,0.0
1,1,16.0,3,0,1322.0,1261.0,71,4.0,0.0
2,1,61.0,1,2,1496.0,1500.0,171,3.0,0.0
3,1,61.0,1,2,1439.0,1454.0,241,3.0,0.0
4,1,95.0,1,2,1523.0,1469.0,192,5.0,0.0
5,0,5.0,0,1,1250.0,1002.0,96,4.0,0.0
6,1,33.0,3,2,1520.0,1423.0,239,10.0,0.0
7,0,9.0,3,0,1413.0,2108.0,71,5.0,0.0
8,1,66.0,3,0,1439.0,1392.0,201,6.0,0.0
9,1,119.0,1,2,1381.0,1209.0,72,4.0,0.0
10,0,39.0,1,2,1381.0,1272.0,0,1.0,0.0
11,0,38.0,3,0,1381.0,1867.0,154,9.0,0.0
12,0,60.0,3,0,1381.0,1936.0,152,3.0,0.0
13,0,31.0,3,0,1381.0,1607.0,152,2.0,0.0
14,0,43.0,3,0,1141.0,1094.0,208,7.0,0.0
15,0,52.0,3,0,1094.0,1141.0,201,8.0,0.0
16,0,66.0,1,0,1141.0,1094.0,201,8.0,0.0
17,0,101.0,3,0,1094.0,1300.0,192,5.0,0.0
18,0,25.0,3,2,1500.0,1094.0,239,2.0,0.0
19,0,14.0,3,0,1094.0,1676.0,206,6.0,0.0
20,0,3.0,3,2,1094.0,1068.0,36,2.0,0.0
21,0,17.0,3,2,1500.0,1094.0,90,3.0,0.0
22,1,36.0,3,2,1307.0,1106.0,24,4.0,0.0
23,1,13.0,3,0,1113.0,1423.0,91,3.0,0.0
24,1,69.0,1,2,1078.0,1219.0,240,4.0,0.0
25,1,43.0,3,2,1825.0,1079.0,196,8.0,0.0
26,1,54.0,1,0,1328.0,1038.0,240,4.0,0.0
27,1,53.0,3,0,1056.0,1156.0,248,4.0,0.0
28,1,66.0,1,0,1077.0,1148.0,245,4.0,0.0
29,1,64.0,3,0,1358.0,1036.0,91,3.0,0.0
30,1,64.0,1,0,1200.0,1002.0,119,6.0,0.0
31,1,54.0,3,2,1203.0,1019.0,96,3.0,0.0
32,0,21.0,3,0,1019.0,1500.0,258,6.0,0.0
33,0,11.0,3,2,1422.0,975.0,90,3.0,0.0
34,1,19.0,3,0,976.0,1832.0,77,4.0,0.0
35,1,28.0,3,2,1569.0,978.0,239,10.0,0.0
36,0,22.0,3,0,978.0,1500.0,41,2.0,0.0
37,0,32.0,0,1,1207.0,978.0,127,10.0,0.0
38,0,71.0,3,0,1241.0,978.0,93,3.0,0.0
39,0,30.0,3,2,1500.0,978.0,91,3.0,0.0
40,0,41.0,3,2,1500.0,978.0,91,3.0,0.0
41,0,49.0,3,2,1500.0,978.0,90,3.0,0.0
42,0,3.0,3,0,978.0,1500.0,72,2.0,0.0
43,0,7.0,3,2,1343.0,978.0,90,3.0,0.0
44,0,5.0,3,0,978.0,1500.0,152,3.0,0.0
45,0,7.0,3,2,1500.0,978.0,172,4.0,0.0
46,0,36.0,3,0,1500.0,978.0,19,2.0,0.0
47,1,3.0,3,2,1407.0,1500.0,93,3.0,0.0
48,1,28.0,3,2,1492.0,1458.0,177,5.0,0.0
49,1,30.0,3,0,1414.0,1442.0,192,8.0,0.0
50,1,44.0,3,0,1457.0,1294.0,195,5.0,0.0
51,1,29.0,3,2,1525.0,1466.0,192,6.0,0.0
52,1,37.0,3,0,1207.0,1579.0,152,3.0,0.0
53,1,49.0,3,2,1567.0,1573.0,36,2.0,0.0
54,1,32.0,3,0,1578.0,1605.0,36,2.0,0.0
55,1,25.0,3,2,1939.0,1581.0,311,6.0,0.0
56,1,40.0,1,0,1618.0,1568.0,152,2.0,0.0
57,1,39.0,3,2,1755.0,1574.0,4,2.0,0.0
58,1,57.0,3,2,1561.0,1596.0,41,2.0,0.0
59,1,78.0,3,0,1500.0,1554.0,152,3.0,0.0
60,1,61.0,3,2,1544.0,1461.0,239,3.0,0.0
61,1,44.0,3,0,1563.0,1335.0,239,3.0,0.0
62,1,62.0,1,0,1579.0,1470.0,37,2.0,0.0
63,1,87.0,1,2,1617.0,1590.0,41,2.0,0.0
64,1,54.0,1,0,1207.0,1588.0,154,7.0,0.0
65,1,54.0,3,0,1595.0,1547.0,239,3.0,0.0
66,1,37.0,3,2,1855.0,1599.0,153,5.0,0.0
67,1,50.0,3,2,1589.0,1547.0,36,2.0,0.0
68,1,131.0,3,2,1571.0,1728.0,241,5.0,0.0
69,1,47.0,3,0,1579.0,2105.0,241,5.0,0.0
70,1,64.0,1,0,1768.0,1560.0,152,3.0,0.0
71,1,61.0,3,2,1552.0,1436.0,239,3.0,0.0
72,1,57.0,1,2,1536.0,1667.0,241,5.0,0.0
73,1,51.0,3,2,1521.0,1549.0,10,2.0,0.0
74,1,58.0,1,0,1251.0,1545.0,0,3.0,0.0
75,1,71.0,3,2,1537.0,1408.0,239,3.0,0.0
76,1,114.0,3,2,1522.0,1512.0,36,1.0,0.0
77,1,20.0,3,0,1543.0,1593.0,241,5.0,0.0
78,1,48.0,3,0,1556.0,1539.0,239,3.0,0.0
79,1,34.0,1,0,1409.0,1548.0,152,3.0,0.0
80,1,51.0,3,2,1539.0,1418.0,241,5.0,0.0
81,1,28.0,3,2,1542.0,1399.0,239,4.0,0.0
82,1,62.0,3,0,1546.0,1877.0,241,5.0,0.0
83,1,62.0,1,0,1134.0,1535.0,43,4.0,0.0
84,1,85.0,1,2,1513.0,1784.0,36,2.0,0.0
85,1,38.0,3,2,1501.0,1445.0,241,5.0,0.0
86,0,14.0,3,2,1500.0,1500.0,201,8.0,0.0
87,1,113.0,0,1,1745.0,1714.0,245,4.0,0.0
88,1,62.0,3,2,1734.0,1748.0,245,4.0,0.0
89,1,75.0,2,2,1724.0,1855.0,196,7.0,0.0
90,1,81.0,2,2,1726.0,1388.0,192,5.0,0.0
91,1,46.0,3,0,1735.0,1806.0,295,6.0,0.0
92,1,70.0,1,0,1597.0,1728.0,152,3.0,0.0
93,1,39.0,3,2,1743.0,1738.0,162,10.0,0.0
94,1,91.0,3,2,1721.0,1750.0,264,7.0,0.0
95,1,137.0,2,2,1746.0,1487.0,258,5.0,0.0
96,1,46.0,3,0,1744.0,1735.0,154,9.0,0.0
97,1,18.0,3,0,1749.0,1631.0,273,9.0,0.0
98,1,28.0,3,0,1769.0,1396.0,258,5.0,0.0
99,1,40.0,3,0,1795.0,1760.0,42,5.0,0.0
100,1,54.0,1,0,1795.0,1784.0,215,6.0,0.0
101,1,33.0,3,2,1770.0,1872.0,241,3.0,0.0
102,1,90.0,3,0,1783.0,1721.0,241,5.0,0.0
103,1,90.0,3,0,1884.0,1768.0,215,7.0,0.0
104,1,40.0,1,0,1756.0,1756.0,175,5.0,0.0
105,1,49.0,2,2,1724.0,1958.0,39,5.0,0.0
106,1,50.0,3,0,2036.0,1706.0,8,6.0,0.0
107,1,59.0,1,2,1706.0,925.0,241,5.0,0.0
108,1,26.0,2,0,1244.0,1219.0,71,4.0,0.0
109,1,23.0,1,2,1215.0,921.0,201,5.0,0.0
110,1,118.0,1,0,1350.0,1201.0,74,5.0,0.0
111,1,120.0,0,1,1139.0,1212.0,201,8.0,0.0
112,1,37.0,3,2,1433.0,1282.0,73,3.0,0.0
113,1,24.0,3,0,1132.0,1276.0,245,4.0,0.0
114,0,47.0,3,2,1276.0,1308.0,206,6.0,0.0
115,1,37.0,3,0,1228.0,1266.0,73,7.0,0.0
116,1,24.0,3,0,1273.0,1409.0,84,5.0,0.0
117,1,9.0,3,2,1338.0,1277.0,239,3.0,0.0
118,1,47.0,1,2,1263.0,1336.0,123,8.0,0.0
119,1,85.0,1,2,1316.0,1273.0,19,2.0,0.0
120,1,39.0,1,2,1248.0,1253.0,71,2.0,0.0
121,1,58.0,1,0,1335.0,1233.0,319,6.0,0.0
122,1,2.0,3,0,1443.0,1204.0,73,2.0,0.0
123,1,97.0,1,2,1227.0,1216.0,245,4.0,0.0
124,1,12.0,0,1,1215.0,1219.0,201,5.0,0.0
125,1,30.0,3,2,1227.0,1227.0,201,8.0,0.0
126,1,43.0,1,2,1550.0,1225.0,312,8.0,0.0
127,1,11.0,3,2,1325.0,1234.0,73,2.0,0.0
128,1,72.0,1,0,1212.0,1221.0,73,5.0,0.0
129,1,18.0,3,0,1228.0,1626.0,264,4.0,0.0
130,1,32.0,3,0,1422.0,1210.0,73,5.0,0.0
131,1,35.0,3,2,1186.0,1223.0,179,5.0,0.0
132,1,85.0,1,2,1212.0,1212.0,77,2.0,0.0
133,1,50.0,3,0,1228.0,1343.0,72,6.0,0.0
134,1,111.0,3,2,1865.0,1862.0,42,5.0,0.0
135,1,65.0,2,2,1852.0,1852.0,99,5.0,0.0
136,1,125.0,3,2,1851.0,1918.0,96,4.0,0.0
137,1,76.0,3,0,1861.0,1844.0,206,6.0,0.0
138,1,59.0,3,2,1851.0,1890.0,152,3.0,0.0
139,1,70.0,3,0,1860.0,1840.0,117,5.0,0.0
140,1,34.0,3,2,1828.0,1848.0,118,5.0,0.0
141,1,69.0,2,2,1855.0,1858.0,307,1.0,0.0
142,1,63.0,3,2,1847.0,1895.0,221,8.0,0.0
143,1,107.0,3,2,1885.0,1856.0,117,4.0,0.0
144,1,58.0,3,2,1847.0,1802.0,36,1.0,0.0
145,0,34.0,3,0,1847.0,1856.0,82,6.0,0.0
146,1,44.0,3,0,1860.0,1820.0,152,3.0,0.0
147,1,40.0,2,0,1854.0,1849.0,41,3.0,0.0
148,1,105.0,2,2,1895.0,1859.0,117,4.0,0.0
149,1,50.0,3,0,1866.0,1965.0,100,6.0,0.0
150,1,69.0,3,0,1877.0,1860.0,212,6.0,0.0
151,1,107.0,0,1,1866.0,1835.0,206,7.0,0.0
152,1,44.0,3,2,1845.0,1846.0,221,8.0,0.0
153,1,40.0,3,0,1834.0,1835.0,99,4.0,0.0
154,1,59.0,3,2,1846.0,1845.0,81,2.0,0.0
155,0,110.0,3,0,1845.0,1917.0,245,4.0,0.0
156,1,30.0,3,0,1858.0,1790.0,72,4.0,0.0
157,1,54.0,3,0,1871.0,1847.0,99,4.0,0.0
158,1,136.0,3,0,1800.0,1826.0,90,2.0,0.0
159,0,124.0,1,0,1283.0,1267.0,99,5.0,0.0
160,1,96.0,3,0,1290.0,1270.0,0,1.0,0.0
161,1,53.0,2,2,1331.0,1281.0,239,4.0,0.0
162,1,39.0,1,2,1304.0,1292.0,0,1.0,0.0
163,1,10.0,1,0,1305.0,1293.0,152,3.0,0.0
164,1,51.0,1,2,1308.0,1317.0,173,8.0,0.0
165,0,106.0,1,0,968.0,1305.0,201,8.0,0.0
166,0,38.0,1,0,1293.0,1466.0,192,5.0,0.0
167,1,59.0,1,2,1500.0,1299.0,219,7.0,0.0
